from,to,votos
Greece,Italy,8
Greece,Luxembourg,3
Greece,Portugal,6
Greece,Sweden,1
Greece,Switzerland,12
Greece,Ukraine,2
Iceland,Armenia,5
Iceland,Croatia,10
Iceland,France,12
Iceland,Germany,2
Iceland,Ireland,7
Iceland,Portugal,4
Iceland,Sweden,1
Iceland,Switzerland,6
Iceland,Ukraine,3
Iceland,United Kingdom,8
Ireland,Croatia,7
Ireland,France,3
Ireland,Germany,6
Ireland,Luxembourg,8
Ireland,Portugal,5
Ireland,Serbia,1
Ireland,Sweden,10
Ireland,Switzerland,12
Ireland,Ukraine,2
Ireland,United Kingdom,4
Israel,Austria,7
Israel,Croatia,4
Israel,France,1
Israel,Georgia,2
Israel,Germany,10
Israel,Italy,6
Israel,Luxembourg,12
Israel,Portugal,3
Israel,Switzerland,5
Israel,Ukraine,8
Italy,Armenia,3
Italy,Austria,5
Italy,Croatia,8
Italy,Estonia,2
Italy,France,1
Italy,Germany,4
Italy,Ireland,10
Italy,Spain,7
Italy,Sweden,6
Italy,Switzerland,12
Latvia,Armenia,7
Latvia,Croatia,6
Latvia,France,10
Latvia,Germany,4
Latvia,Israel,2
Latvia,Portugal,1
Latvia,Sweden,5
Latvia,Switzerland,12
Latvia,Ukraine,8
Latvia,United Kingdom,3
Lithuania,Croatia,10
Lithuania,France,7
Lithuania,Germany,1
Lithuania,Ireland,3
Lithuania,Israel,4
Lithuania,Norway,2
Lithuania,Portugal,8
Lithuania,Sweden,5
Lithuania,Switzerland,12
Lithuania,Ukraine,6
Luxembourg,Armenia,2
Luxembourg,Croatia,6
Luxembourg,Cyprus,7
Luxembourg,France,10
Luxembourg,Germany,4
Luxembourg,Latvia,8
Luxembourg,Portugal,3
Luxembourg,Sweden,1
Luxembourg,Switzerland,12
Luxembourg,Ukraine,5
Malta,Croatia,10
Malta,France,6
Malta,Georgia,2
Malta,Ireland,7
Malta,Israel,3
Malta,Italy,8
Malta,Latvia,5
Malta,Luxembourg,4
Malta,Portugal,1
Malta,Switzerland,12
Moldova,Croatia,8
Moldova,France,6
Moldova,Israel,3
Moldova,Italy,10
Moldova,Lithuania,5
Moldova,Luxembourg,2
Moldova,Portugal,4
Moldova,Sweden,1
Moldova,Switzerland,7
Moldova,Ukraine,12
Netherlands,Armenia,3
Netherlands,Croatia,7
Netherlands,France,10
Netherlands,Germany,5
Netherlands,Italy,6
Netherlands,Latvia,1
Netherlands,Lithuania,4
Netherlands,Portugal,8
Netherlands,Switzerland,12
Netherlands,Ukraine,2
Norway,Armenia,7
Norway,France,10
Norway,Georgia,1
Norway,Germany,6
Norway,Greece,2
Norway,Israel,8
Norway,Italy,5
Norway,Sweden,3
Norway,Switzerland,12
Norway,Ukraine,4
Poland,Croatia,8
Poland,France,3
Poland,Germany,4
Poland,Ireland,1
Poland,Italy,7
Poland,Latvia,2
Poland,Portugal,6
Poland,Sweden,5
Poland,Switzerland,12
Poland,Ukraine,10
Portugal,Armenia,8
Portugal,Germany,2
Portugal,Ireland,10
Portugal,Italy,5
Portugal,Lithuania,7
Portugal,Serbia,1
Portugal,Sweden,3
Portugal,Switzerland,12
Portugal,Ukraine,6
Portugal,United Kingdom,4
San Marino,Armenia,8
San Marino,Cyprus,3
San Marino,Finland,4
San Marino,Germany,1
San Marino,Ireland,7
San Marino,Italy,10
San Marino,Portugal,5
San Marino,Spain,6
San Marino,Sweden,2
San Marino,Switzerland,12
Serbia,Croatia,12
Serbia,France,8
Serbia,Greece,3
Serbia,Ireland,2
Serbia,Italy,6
Serbia,Lithuania,7
Serbia,Sweden,5
Serbia,Switzerland,10
Serbia,Ukraine,1
Serbia,United Kingdom,4
Slovenia,Armenia,7
Slovenia,Croatia,6
Slovenia,France,12
Slovenia,Greece,2
Slovenia,Ireland,1
Slovenia,Italy,3
Slovenia,Luxembourg,5
Slovenia,Portugal,8
Slovenia,Serbia,4
Slovenia,Switzerland,10
Spain,Austria,6
Spain,France,7
Spain,Germany,5
Spain,Ireland,10
Spain,Italy,1
Spain,Latvia,4
Spain,Portugal,3
Spain,Sweden,8
Spain,Switzerland,12
Spain,United Kingdom,2
Sweden,Austria,1
Sweden,Croatia,10
Sweden,Cyprus,2
Sweden,France,5
Sweden,Italy,7
Sweden,Luxembourg,6
Sweden,Portugal,4
Sweden,Switzerland,12
Sweden,Ukraine,3
Sweden,United Kingdom,8
Switzerland,Armenia,4
Switzerland,Croatia,8
Switzerland,France,5
Switzerland,Greece,12
Switzerland,Ireland,10
Switzerland,Italy,6
Switzerland,Portugal,7
Switzerland,Spain,1
Switzerland,Ukraine,2
Switzerland,United Kingdom,3
Ukraine,Croatia,4
Ukraine,France,6
Ukraine,Germany,7
Ukraine,Ireland,10
Ukraine,Italy,2
Ukraine,Lithuania,5
Ukraine,Luxembourg,1
Ukraine,Portugal,3
Ukraine,Sweden,8
Ukraine,Switzerland,12
United Kingdom,Croatia,8
United Kingdom,Cyprus,1
United Kingdom,Germany,2
United Kingdom,Ireland,7
United Kingdom,Italy,5
United Kingdom,Latvia,3
United Kingdom,Luxembourg,4
United Kingdom,Portugal,12
United Kingdom,Sweden,6
United Kingdom,Switzerland,10
