from,to,votos
Latvia,Lithuania,8
Latvia,Switzerland,4
Latvia,Ukraine,10
Lithuania,Croatia,10
Lithuania,Estonia,6
Lithuania,France,7
Lithuania,Ireland,5
Lithuania,Israel,3
Lithuania,Italy,2
Lithuania,Latvia,4
Lithuania,Sweden,1
Lithuania,Switzerland,8
Lithuania,Ukraine,12
Luxembourg,Croatia,10
Luxembourg,France,8
Luxembourg,Germany,1
Luxembourg,Greece,5
Luxembourg,Israel,12
Luxembourg,Italy,3
Luxembourg,Lithuania,4
Luxembourg,Portugal,6
Luxembourg,Switzerland,2
Luxembourg,Ukraine,7
Malta,Croatia,10
Malta,France,7
Malta,Greece,2
Malta,Ireland,4
Malta,Israel,5
Malta,Italy,8
Malta,Serbia,3
Malta,Sweden,1
Malta,Switzerland,6
Malta,Ukraine,12
Moldova,Armenia,1
Moldova,Croatia,7
Moldova,France,6
Moldova,Greece,3
Moldova,Ireland,2
Moldova,Israel,10
Moldova,Italy,4
Moldova,Sweden,8
Moldova,Switzerland,5
Moldova,Ukraine,12
Netherlands,Armenia,3
Netherlands,Croatia,10
Netherlands,France,5
Netherlands,Greece,4
Netherlands,Ireland,6
Netherlands,Israel,12
Netherlands,Italy,2
Netherlands,Lithuania,1
Netherlands,Switzerland,7
Netherlands,Ukraine,8
Norway,Croatia,12
Norway,Finland,1
Norway,France,7
Norway,Ireland,4
Norway,Israel,5
Norway,Latvia,2
Norway,Lithuania,3
Norway,Sweden,10
Norway,Switzerland,6
Norway,Ukraine,8
Poland,Croatia,10
Poland,Finland,1
Poland,France,7
Poland,Ireland,6
Poland,Israel,5
Poland,Italy,4
Poland,Lithuania,3
Poland,Sweden,2
Poland,Switzerland,8
Poland,Ukraine,12
Portugal,Armenia,2
Portugal,Croatia,7
Portugal,Cyprus,1
Portugal,France,8
Portugal,Ireland,5
Portugal,Israel,12
Portugal,Italy,4
Portugal,Spain,3
Portugal,Switzerland,6
Portugal,Ukraine,10
Rest of the World,Armenia,5
Rest of the World,Croatia,8
Rest of the World,France,2
Rest of the World,Greece,3
Rest of the World,Ireland,7
Rest of the World,Israel,12
Rest of the World,Italy,1
Rest of the World,Luxembourg,4
Rest of the World,Switzerland,6
Rest of the World,Ukraine,10
San Marino,Croatia,8
San Marino,Cyprus,4
San Marino,France,6
San Marino,Greece,7
San Marino,Ireland,2
San Marino,Israel,12
San Marino,Italy,3
San Marino,Lithuania,1
San Marino,Switzerland,5
San Marino,Ukraine,10
Serbia,Armenia,1
Serbia,Croatia,12
Serbia,France,10
Serbia,Greece,8
Serbia,Ireland,7
Serbia,Israel,3
Serbia,Italy,4
Serbia,Slovenia,2
Serbia,Sweden,5
Serbia,Switzerland,6
Slovenia,Croatia,12
Slovenia,Cyprus,6
Slovenia,France,7
Slovenia,Ireland,2
Slovenia,Israel,10
Slovenia,Italy,3
Slovenia,Serbia,5
Slovenia,Sweden,1
Slovenia,Switzerland,4
Slovenia,Ukraine,8
Spain,Armenia,3
Spain,Croatia,8
Spain,France,5
Spain,Greece,2
Spain,Ireland,7
Spain,Israel,12
Spain,Italy,4
Spain,Lithuania,1
Spain,Switzerland,6
Spain,Ukraine,10
Sweden,Armenia,2
Sweden,Croatia,10
Sweden,Finland,5
Sweden,France,6
Sweden,Ireland,4
Sweden,Israel,12
Sweden,Italy,1
Sweden,Lithuania,3
Sweden,Switzerland,7
Sweden,Ukraine,8
Switzerland,Armenia,1
Switzerland,Croatia,10
Switzerland,France,7
Switzerland,Germany,3
Switzerland,Greece,4
Switzerland,Israel,12
Switzerland,Italy,8
Switzerland,Portugal,2
Switzerland,Serbia,5
Switzerland,Ukraine,6
Ukraine,Armenia,1
Ukraine,Croatia,10
Ukraine,Estonia,4
Ukraine,Finland,2
Ukraine,France,6
Ukraine,Ireland,8
Ukraine,Latvia,5
Ukraine,Lithuania,7
Ukraine,Norway,3
Ukraine,Switzerland,12
United Kingdom,Croatia,7
United Kingdom,Finland,3
United Kingdom,France,2
United Kingdom,Greece,1
United Kingdom,Ireland,10
United Kingdom,Israel,12
United Kingdom,Latvia,4
United Kingdom,Lithuania,8
United Kingdom,Switzerland,5
United Kingdom,Ukraine,6
